blockgr10,rs,sfpar,mfpar,cdpar,aptpar,othpar,alsales,sfsales,mfsales,cdsales,f,f_bor,f_tax,f_mort,gt1_alsales,gt1_sfsales,gt1_mfsales,gt1_cdsales,cntynme10,area10,demo,mf_s8prop,assisted_units_count,property_total_unit_count,pop,vac_hunit,rent_hunit,com_area,rvac_area,pv,n_sales_17,med_sfarea17,med_sfprice17,med_sfprice_per_sqft17,n_sales_18,med_sfarea18,med_sfprice18,med_sfprice_per_sqft18,n_sales_19,med_sfarea19,med_sfprice19,med_sfprice_per_sqft19,med_alsales,med_sfsales,med_mfsales,med_cdsales,med_alpricesft,med_sfpricesft,med_mfpricesft,med_cdpricesft,std_alpricesft,std_sfpricesft,std_mfpricesft,std_cdpricesft,_gt1_alsales,_gt1_sfsales,_gt1_mfsales,_gt1_cdsales,_mf_s8prop,_com_area,_rvac_area,_pv
390351195012,330,33,28,269,0,0,68,1,2,65,8,0,0,8,64,1,2,61,Cuyahoga,0.0879533033,0,0,0,0,1257,179,459,0.0236339962,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0625,1,1,1.0655737705,42.111460158,35.398230088,32.139001846,43.153049482,29.815490994,,12.763547662,30.258622378,19.39,0.3,0.61,18.48,0,26.87,0,0.3
390351195013,10,5,5,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,Cuyahoga,0.0257653703,1,0,0,0,337,179,237,0.0070120954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,27.22,0,0
390351195021,264.66666667,118,146.66666667,0,0,0,48,14,34,0,20,4,6,10,38,11,27,0,Cuyahoga,0.1333129729,5,1,160,160,1867,229,1022,0.06790856,0.0035833118,17,3,1516,19750,18.440709617,8,1519.5,66500,43.812698907,3,1482,81000,54.655870445,1.2631578947,1.2727272727,1.2592592593,,24.348932488,41.564046334,21.487895029,,21.396725495,27.38073294,16.129877646,,14.36,4.16,10.2,0,0.38,50.94,2.69,6.42
390351196001,226.33333333,122.66666667,102.33333333,0,0,1.3333333333,58,19,39,0,30,8,13,9,35,14,21,0,Cuyahoga,0.10619277,16,0,0,0,681,74,168,0.0330020015,0.0053499483,69,3,1638,25000,19.281045752,6,1166,16800,14.691027926,10,1489,27550,21.379118945,1.6571428571,1.3571428571,1.8571428571,,13.616562549,19.281045752,11.520737327,,12.76128087,16.710912138,9.4692970955,,15.46,6.19,9.28,0,0,31.08,5.04,30.49
390351196002,242,131.33333333,109.66666667,0,0,1.5,52,23,29,0,32,7,17,8,35,14,21,0,Cuyahoga,0.1966599845,30,0,0,0,541,120,154,0.0507819315,0.0041718678,51,6,1381.5,17362.5,13.790657303,3,1306,25000,19.142419602,14,1294,25750,19.54063102,1.4857142857,1.6428571429,1.380952381,,16.324300699,17.531446541,15.625,,12.920014631,15.924711782,8.9346533568,,14.46,5.79,8.68,0,0,25.82,2.12,21.07
390351196003,111,42.333333333,67.333333333,0,0,1.3333333333,14,1,13,0,25,12,9,4,11,1,10,0,Cuyahoga,0.0815845479,21,0,0,0,83,100,19,0.0019696252,0.0042780432,18,0,0,0,0,0,0,0,0,0,0,0,0,1.2727272727,1,1.3,,10.545498769,15.92039801,9.7402597403,,12.993531394,,13.517235409,,9.91,0.9,9.01,0,0,2.41,5.24,16.22
390351196004,137.33333333,47,90,0,0,1,33,15,18,0,20,7,10,3,18,10,8,0,Cuyahoga,0.0853058006,25,0,0,0,149,157,30,0.0012780504,0.0036146264,18,3,1464,33800,24.005681818,8,1388,17375,10.50006354,4,1248,55200,42.544478351,1.8333333333,1.5,2.25,,13.892145369,24.005681818,13.310227936,,16.980202628,20.449210618,11.386967429,,13.11,7.28,5.83,0,0,1.5,4.24,13.11
390351197011,366.66666667,348,18.666666667,0,0,0,49,47,2,0,28,3,9,16,43,42,1,0,Cuyahoga,0.1199638763,2,0,0,0,844,70,112,0.0005111484,0.0108101613,53,16,1547,62500,42.977571901,15,1664,69900,40.195514664,16,1521.5,44300,31.667915017,1.1395348837,1.119047619,2,,37.087912088,39.285714286,18.366439371,,55.397492012,56.192777619,7.5679083311,,11.73,11.45,0.27,0,0,0.43,9.01,14.45
390351197012,184,108.33333333,71.666666667,4,0,0,30,13,15,2,13,2,5,6,23,11,10,2,Cuyahoga,0.080190719,7,0,0,0,871,112,340,0.0005972366,0.0064684487,35,1,1480,28000,18.918918919,4,1263,55833.5,45.987258348,8,1508.5,102925,59.642636985,1.3043478261,1.1818181818,1.5,1,19.603690229,45.320776928,13.888888889,89.09343102,33.695006187,37.196470233,11.34994316,12.370585247,12.5,5.98,5.43,1.09,0,0.74,8.07,19.02
390351197021,306,105,200.33333333,0,0,1,86,24,62,0,43,15,21,7,60,18,42,0,Cuyahoga,0.0958131852,31,0,0,0,681,255,236,0.0064967143,0.0134704287,42,10,1283,13250,9.7578155925,3,1372,29700,20.725750174,11,1210,40000,33.585222502,1.4333333333,1.3333333333,1.4761904762,,16.870671586,19.600063323,15.231292507,,13.317795762,18.52052435,10.124131208,,19.61,5.88,13.73,0,0,6.78,14.06,13.73
